,id,title,caption,created,filesize,duration,clip_id,total_comments,total_plays,total_likes,thumbnail
10,247399820,Valdemar - Kind,"""Slice me up, make me dance.""

Director/DoP/Edit/Color/VFX - BABYBABY

Hair and make up - Marino Asahi
Cast - Grace Lambert and Robin Dodler

In ”Kind”, bass producer Valdemar deconstructs modern electronica with the sounds of running below a soon-to-be sleeping city.

KIND - iTunes: itunes.apple.com/gb/album/kind-single/1247665419
KIND - Spotify: open.spotify.com/track/59O5FhrMTa6LiXxe2sqBOH
KIND - Soundcloud: soundcloud.com/ben-hansen/kind-1",2017-12-14T17:50:17-05:00,5121720020,224,247399820,18,19195,844,https://i.vimeocdn.com/video/672649010_780x439.webp
11,248996255,INFINITE WORLDS,"compilation of all the loops created in 2017.
main focus was mainly learning and digging deeper into basic motion design principles and testing some weird abstract stuff in motion.

behance project: https://www.behance.net/gallery/60209901/INFINITE-WORLDS
song: https://soundcloud.com/frequentaudio/alpha-state
all gifs in one place: https://giphy.com/channel/philiplueck
_____
instagram: instagram.com/philiplueck
ello: https://ello.co/philiplueck
twitter: twitter.com/philiplueck
facebook: facebook.com/philiplueck",2017-12-28T12:52:18-05:00,221769116,83,248996255,16,29618,1459,https://i.vimeocdn.com/video/674681942_780x439.webp
12,248261856,My Turtle Dove,"A patriotic film celebrating diversity and tolerance in modern day Britain. Our love letter.
-
Directing debut by Ralph Briscoe & Jay Stephen.
-
Directors: Ralph Briscoe & Jay Stephen
Director of Photography: Francis Lane
Music: TCTS
Words: Ashica Stephen
Narrator: Kyle Rowe
Starring: Eleanor Mukabi, Deepica Stephen, 
Christian Gordine, Frank Kennington
Producers: Ralph Briscoe & Jay Stephen
Editors: Ralph Briscoe & Jay Stephen
Production Assistant: Tara Cantley
Sound Engineer: Adam Kaye
Post Production: Time Based Arts
Colourist: Myles Bevan
VFX supervisor: Mike Aveling
VFX Artists: Ralph Briscoe, Linda Cieniawska
Post Producer: Jo Gutteridge
Sponsors: 20.20, Time Based Arts
-
Read about the film: 
http://www.elleuk.com/life-and-culture/culture/news/a40609/diversity-film-my-turtle-dove/
-
Follow us on instagram for latest work and news; @jaystephen @ralphbriscoe",2017-12-20T23:50:26-05:00,452622049,428,248261856,30,40077,680,https://i.vimeocdn.com/video/675092427_780x439.webp
13,248146468,What is Life?,"Edited by: Emanuel Danneman
www.nobaddays.nu

Music: Gidge - Eyes Open

FILM SOURCES:
A Conversation with Elon Musk
https://www.youtube.com/watch?v=rCoFKUJ_8Yo
Isaac Asimov Memorial Debate
https://www.youtube.com/watch?v=wgSZA3NPpBs&t=315s
Evolution of Video Game Graphics
https://www.youtube.com/watch?v=3H6hnFV-nDU&t=27s
Nuts for Nintendo
https://www.youtube.com/watch?v=yt4KG9ib8S4&t=130s
Life Like Games
https://www.youtube.com/watch?v=Vyv2jc4SaCk
Dreamhack - A sea of computers
https://www.youtube.com/watch?v=Zwb8pQ337L8&t=169s
A Biometric VR Experience
https://www.youtube.com/watch?v=LYntB7GQ84Q
Nature by Numbers
https://www.youtube.com/watch?v=Y8ivF5GqzKo&t=44s
Error Detection and Correction
https://www.youtube.com/watch?v=0CLTy231Hsw&t=339s
Max Cooper - Unbounded
https://www.youtube.com/watch?v=uhLlf59sdw8
Edeline D'Souza at TEDxYouth@Winchester
https://www.youtube.com/watch?v=vAhtgP-1qe4&t=2s
A Life Well Lived, Rick and Morty
https://www.youtube.com/watch?v=szzVlQ653as
Nick Bostrom
https://www.youtube.com/watch?v=nnl6nY8YKHs&t=81s
Do We Live in a Simulated Universe?
https://www.youtube.com/watch?v=tXrASt3EBsk
The Sims
https://www.youtube.com/watch?v=NgPZkyxYd6g&t=532s",2017-12-20T08:42:37-05:00,614082346,262,248146468,36,95024,2415,https://i.vimeocdn.com/video/675250169_780x439.webp
14,248505397,TWISTED,"In 1996, an urban legend was born when the Can-View Drive-In was hit by a tornado during a screening of the movie Twister. The story spread throughout town and the unbelievable event was covered by national media. But what's most amazing is ... it might not have happened.

""TWISTED"" is this week's Staff Pick Premiere! Read more about it here: https://vimeo.com/blog/post/staff-pick-premiere-twisted",2017-12-22T13:57:31-05:00,1788019636,920,248505397,49,378771,874,https://i.vimeocdn.com/video/674056226_780x439.webp
15,247839331,SUPERPOSITION,"To optimize your experience,you can use headset and light free environment with fullscreen resolution.

Superposition is an experimental short film. “Superposition"" is actually the “quantum theory that describes a challenging concept about the nature and behavior of matter and forces at the sub-atomic level. The principle of superposition claims that while we do not know what the state of any object is, it is actually in all possible states simultaneously, as long as we don't look to check. It is the measurement itself that causes the object to be limited to a single possibility”.  In the film, the character desires to break that possibility, she experienced it infinitely but the chances of her breaking single possibility are equal to herself. Every time she is born, she becomes conscious all over again and she doesn’t even know who she is and what she has to do. She is part of the environment but she just doesn’t want to be. She lives in pure white and just wants to live in a little bit of grey. However, if you live in a world where the answers are obvious, a little bit of grey can change the whole picture. One day when you look for the place you last put your key, the universe might collapse until you find it.

DIRECTOR / DESIGNER - Enes Özenbaş
MUSİC - Rafael Anton Irisarri - A Fragile Geography - Empire Systems",2017-12-18T12:40:42-05:00,918062999,160,247839331,29,39263,1645,https://i.vimeocdn.com/video/673657724_780x439.webp
16,235701437,BEATRICE,"Beatrice racconta la storia della campionessa di scherma Bebe Vio. Beatrice Vio tira di scherma da quando aveva cinque anni; allora lo faceva stando in piedi, e adesso lo fa da seduta. All’età di dodici anni le sono stati amputati tutti gli arti a causa della meningite, ma ciò non l’ha fermata nel continuare a praticare lo sport che ama diventando campionessa del mondo a soli diciannove anni. Con il sostegno e la determinazione della sua famiglia, ha sfidato ogni limitazione e aspettativa. Beatrice è portavoce e testimonial di campagne di vaccinazione contro la meningite e fondatrice di Art4Sport, un'associazione che offre ai bambini che hanno subìto amputazioni le protesi necessarie per poter continuare a fare sport.

Director: Lorena Alvarado
Screenwriting: Karen Oetling
Production: Chiara Codognotto Cappuzzo
DOP: Shek Po Kwan
Edit: Karen Oetling & Lorena Alvarado
Camera: Mattia Mura
Color Grading: Kendra Sanders
Sound Design & Music: Antti L.S. Ikonen
Voice over recording: Lorenzo Vio
Voice over editor: Elda Olivieri

In collaborazione con:
Comitato Italiano Paralimpico Veneto 
art4sport ONLUS
Arte Ortopedica
Hotel LA Residence & Idrokinesis ​


Un ringraziamento a:
Alessandro Favaron, Laura Sans, Giorgia De Luca,
Juan Pablo R. Valadez, Ena Alvarado, Luca Dalmastri, Famiglia Vio",2017-09-27T04:32:45-04:00,736319886,566,235701437,21,43787,718,https://i.vimeocdn.com/video/669559687_780x439.webp
17,248067419,LIVING ROOMS,"Projection video mapping made for “Fête des Lumières de Lyon” - December 7, 8, 9, 2017.

What you are basically ; one life, one experience and so many horizons lived in this life.
LIVING ROOMS — the short living story of a primitive shape

Director / Animator / 3D : Melvin Le Riboter
Sound designer / Music supervisor : Zing Audio

Special thanks to Zing Audio for his amazing work on the sound!

Find here the projected version : https://vimeo.com/250890246/c1c2475bd4
More details : https://www.behance.net/gallery/59528667/LIVING-ROOMS",2017-12-19T18:37:57-05:00,124564047,94,248067419,31,24199,1068,https://i.vimeocdn.com/video/673488589_780x439.webp
18,247820432,The Grand Tour to Florence. Italy Timelapse & Hyperlapse,"Florence is considered one of the most beautiful cities in the world with its overflow of palaces, churches and museums filled with masterful paintings and sculptures. 
Timelapse & Edit by Kirill Neiezhmakov 
e-mail: hyperlapsepro@gmail.com
https://facebook.com/kirill.neiezhmakov
https://instagram.com/neiezhmakov/ 
https://vk.com/nk_design
Youtube: https://www.youtube.com/watch?v=ifepuwAMoqQ
Music: Uplift by SkyProductions
Some story and BTS about this video you can find here https://www.diyphotography.net/fun-hyperlapse-shows-city-florence-inside/

Footage (this and many other) available for licensing in 4K
You can download it here  https://www.videoblocks.com/portfolio/Kirill+Neiezhmakov
https://www.pond5.com/artist/nk87
Florence collection: https://www.pond5.com/collections/2104454-florence

Equipment: 
Canon 60d, 70d, 5ds
Tokina 11-16 mm 2.8
Samyang 8 mm 3.5
Canon 17-55 mm 2.8
Canon 70-200 mm 4L
Canon 16-35 mm 2.8L
Canon TS-E 17 mm 4L
Manfrotto 190 carbon tripod
Software:
Adobe After Effects, Lightroom, LRTimelapse 

Tuscan cuisine, incredible boutique shopping, and mesmerizing views at every turn, the city of Florence is nothing short of spectacular. Known worldwide as the birthplace of the Renaissance, Florence embodies the spirit of ancient Italy and has managed to preserve it for nearly 700 years. With over 350,000 who call the city home, and nearly 1.5 million who reside in its surrounding metropolitan area, Florence skillfully fuses the past with the present, creating a unique time capsule of ancient aesthetics housed within a hustling, bustling world of modern day Italy.
Containing a wealth of preserved artistic and architectural masterpieces, the city is home to almost one-third of the world’s artistic treasures, according to UNESCO, an organization which designates world heritage sites to preserve the world’s most important cultural locations and artifacts. With a near countless number of art galleries and over 45 museums – including the Uffizi gallery, the world’s best collection of Italian Renaissance art, and the Galleria dell'Accademia, home to the legendary statue of David – it is no wonder why the city captures the hearts and imaginations of all who visit. From the ancient churches and stunning buildings that line the city streets to the priceless artistic masterpieces created by Michelangelo, Botticelli, and Giotto housed within Florence’s galleries, the city is bursting with art and culture.
Florence’s influence can be felt in more than just the world of art. The capital of the region of Tuscany, Florence is the birthplace of the Italian language. It was famed Italian author Dante Alighieri and other writers such as Boccaccio and Petrarca who were the first to begin writing in a language other than Latin. Florence was also the first city in all of Europe to have paved streets. With its rich history and incomparable influence on modern Italian life, Florence certainly changed the way that most view Italy.

Una città che ha mantenuto inalterato il proprio fascino e lo splendore del passato. Così si presenta Firenze, capoluogo della Toscana. Una città incantevole che non smette mai di sorprendere, con i suoi capolavori d’arte, i marmi colorati delle chiese e le architetture che ne rievocano il fasto e il ruolo svolto nello sviluppo della cultura e dell’arte rinascimentale.
Cuore pulsante di Firenze è Piazza del Duomo, con il complesso monumentale della Basilica di Santa Maria del Fiore - sormontato dalla maestosa cupola del Brunelleschi -, il Battistero di San Giovanni - magnifico esempio di romanico fiorentino -, il Campanile di Giotto - un capolavoro di architettura gotica fiorentina.
Alle spalle del Duomo sorge il Museo dell’Opera di Santa Maria del Fiore, dove è possibile ammirare una preziosa raccolta di opere provenienti dalla Cattedrale, dal Battistero e dal Campanile.
Piazza della Signoria rappresenta il polo storico della vita civile e ospita la trecentesca Loggia dei Lanzi, la Fontana di Nettuno e il Palazzo della Signoria o Palazzo Vecchio, uno dei monumenti-simbolo della città, davanti al quale sorgono alcune famose statue tra cui una copia del famoso David di Michelangelo.
Accanto alla piazza vi è la maestosa Galleria degli Uffizi, sede di uno dei musei più importanti del mondo, che include opere di Botticelli, Michelangelo, Leonardo da Vinci e molti altri grandi artisti. Elemento architettonico di particolare rilievo della Galleria è il Corridoio Vasariano progettato dal Vasari alla metà del Cinquecento che collega la struttura con Palazzo Vecchio e con Palazzo Pitti.",2017-12-18T10:51:13-05:00,486448886,178,247820432,36,40381,1149,https://i.vimeocdn.com/video/673174954_780x439.webp
19,246855180,60 Years of Logos: Chermayeff and Geismar,"60 years ago Ivan Chermayeff and Tom Geismar joined forces and the world of design has never been the same. Their company Chermayeff & Geismar & Haviv designed some of the most enduring and defining logos of the modern age. We honor their collaboration with this video, which includes, sadly, the last interview with Ivan before his passing.

Client: AIGA
Presented by: AIGA Design Archives

Production Company: Dress Code (dresscodeny.com)
Director: Dan Covert

Executive Producer: Brad Edelstein
Head of Production: Tara Rose Stromberg
Cinematography: Andre Andreev
Production Cordinator: Nick Stromberg
Edit: Mike Cook, Dan Covert
Color: Mike Cook
Music + Sound Design: YouTooCanWoo
On Set Sound: Matteo Liberatore

Images and Special Thanks: Chermayeff and Geismar

This project is supported in part by an award from the National Endowment for the Arts. We thank them for their help towards the AIGA archives and special collections.",2017-12-11T15:19:51-05:00,382843660,190,246855180,32,37404,1373,https://i.vimeocdn.com/video/675793703_780x439.webp
20,247166151,7TH AEON // ANIMATED SHORT FILM,"""Racing to the red light, only to find themselves wanting to go further. They have ripped the natural world apart and surrendered their freedom to a joyless gratification.""

Direction, Animation: Mads Broni
Illustration, Character Animation: Salla Lehmus
Music, Sound Design: Echoic Audio
Narration: Gillian Burke
Special thanks to: Amber Parson, Simon Trotz, Veronica Moray

enquiries at hello@bndl.tv",2017-12-13T11:05:26-05:00,503613538,159,247166151,141,54353,2456,https://i.vimeocdn.com/video/672339075_780x439.webp
21,246983302,DEAR SATAN,"NARRATED BY: PATRICK STEWART

WRITTEN, DIRECTED, ANIMATED & PRODUCED BY ANOMALY:

WRITTEN BY: ALEX BINGHAM, CONRAD SWANSTON, CRAIG AINSLEY 
ANIMATION DIRECTION BY: BEN WHITE 
ANIMATED BY: BEN PEARSE, JOAO PEREIRA, TOM MALINS
ILLUSTRATED BY: SERGE SEIDLITZ (B&A)
TYPOGRAPHY BY: KERRY ROPER
ASBESTOS COMPLIANCE OFFICER: OLI BEALE
DIRECTED BY: ALEX BINGHAM, BEN WHITE, CONRAD SWANSTON
PRODUCED BY: TARA OLIVER 
SOUND DESIGN BY: MARK HELLABY, MIKE BOVILL (750MPH) 
COMPOSED BY: ASHLEY BATES, JAMIE MASTERS (ADELPHOI)",2017-12-12T10:41:45-05:00,5613227316,382,246983302,77,368164,2481,https://i.vimeocdn.com/video/672106715_780x439.webp
22,240839522,H,"Direction/animation: Roberto Biadi
Sound: Enrico Ascoli
Animation support: Daniele Laplaca",2017-11-01T10:38:58-04:00,250479093,122,240839522,89,30789,1187,https://i.vimeocdn.com/video/666021504_780x439.webp
23,107261264,BLOODHOUND | shortfilm,"Short film - 17' - 2014
Driving to reach his girlfriend’s cottage, Samuele accidentally hits the dog of an old hunter. Feeling guilty for the death of the dog he follows the hunter helping him to bury the animal in the woods. The journey in the wilderness is unending and Samuele is doubtful about the real intentions of the hunter.",2014-09-26T11:04:11-04:00,1300892892,1121,107261264,44,16656,377,https://i.vimeocdn.com/video/510880470_780x439.webp
24,245921641,"Gus Dapperton ""Prune, You Talk Funny""","its 1986 and desire and fantasy is all we have.  we follow gus at a pivotal point in his life as he tries to figure out right from wrong.

director matthew dillon cohen
director of photography ben carey
producer luigi rossi
production diktator
choreographer juri onuki
production design sharon vion
stylist marc anthony george


editor matt schaff
colorist josh bohoskey 
post production company the mill
3-d artist alessio de vecchi",2017-12-05T09:11:37-05:00,4735543716,223,245921641,23,39990,1286,https://i.vimeocdn.com/video/670750946_780x439.webp
25,244729509,THE BAIL PROJECT,"The Bronx Freedom Fund pays the bail for people accused of misdemeanors who cannot afford their freedom. Who are these people? They are often the most vulnerable in our community and those with the least public voice. They are people like Ramel. 
 
Having Ramel share his story with us was transformative – to be innocent and have your liberty denied is a national shame. His story galvanized us to make this film because his voice not only deserves to be heard, but needs to be heard. His courage, resolve and compassion is an inspiration and it’s time to shine a light on this grave injustice being visited upon far too many of our fellow citizens. 
 
The Bronx Freedom Fund, and now the national Bail Project, is doing their part – Ramel’s story is a stirring reminder that it’s up to all of us to step up and do ours.

The Bail Project is an unprecedented national effort to combat mass incarceration by keeping tens of thousands of low-income Americans out of pretrial detention. The organization grows out of The Bronx Freedom Fund and will expand to dozens of high-need jurisdictions with the goal of reducing the unacceptable human suffering caused by unaffordable cash bail and supporting community efforts to end the racial disparities endemic to this system.

Join the cause at http://bailproject.org.

--

Featuring Ramel Edwards

Client: The Bronx Freedom Fund
Project Director: Ezra Ritchin

Production Company: Variable
Director: Kevan Funk
Cinematographer: Peter Hadfield
Producer: Alex Friedman
Executive Producer: Tyler Ginter
Production Supervisor: Paige Demarco
Production Coordinator: Rocco Campanelli
1st AC: Oliver Lanzenberg
DIT: Jeff Levine
Gaffer: Brad Burke
Key Grip: Seth Dean
Sound: Corey Poindexter
Production Designer: Curtis Oliveira
Art PA: Syd Richardson
Art PA: Jack De Sousa
PA: Johnny Guevara
PA: Julius Moreno

Editorial: Cartel 
Editor: Chris Catanach
Post Producer: Greer Bratschie
Post Executive Producer: Lauren Bleiweiss

Color: Company 3 
Colorist: Jaime O’Bradovich
Color Producer: Kate Aspell

Sound Design/Mix: Matt Drake @ White Hart Post
Original Score: Ben Fox

Casting: Nina Day Casting

Supporting Cast:
Young Ramel: Taj Blain
Ramel's Aunt: Donna Glaesner
Neighborhood Kid #1 Ariana Bantoe
Neighborhood Kid #2 Da'jour Jones
Neighborhood Kid #3 Jacquel Gilmore

--

www.WeAreVariable.com
hello@WeAreVariable.com",2017-11-27T17:04:48-05:00,5514110956,429,244729509,50,27563,1505,https://i.vimeocdn.com/video/669209450_780x439.webp
26,245771395,Insomnia,"C'est la nuit et un garçon n'arrive pas à dormir.

Rallye d'animation à l'EMCA. Cinq jours et deux minutes de court-métrage à faire.
Pour attaque cette proposition j'ai improvise le jour précédant le rallye une chanson au piano que j'ai enregistre avec mon téléphone. Cette petite chanson m'est donne l'idée d'une histoire que j'ai improvise plan après plan pendant le rallye.
--------------------------------------------------------
It’s night and a boy can’t fall sleep.

Rally of animation at EMCA. Five days and two minutes of short film to do.
To attack this proposal I improvise the day before the rally a song at the piano that I recorded with my phone. This little song gave me the idea of a story that I improvised during the rally.",2017-12-04T12:47:08-05:00,492549719,131,245771395,26,33231,1844,https://i.vimeocdn.com/video/670544457_780x439.webp
27,245687147,'BACKSTORY' (short film),"'BACKSTORY'
written and directed by Joschka Laukeninks

for more info visit www.backstory-film.com
or follow us on facebook https://www.facebook.com/backstoryshortfilm
produced by www.themarmalade.com

written and directed by JOSCHKA LAUKENINKS
produced by BENJAMIN HORSTKOTTE
produced by TOBIAS WICHURA
cinematography by EIKE RIECHE
edited by VERA BERG
starring JAN STAPELFELDT, JESSICA MCINTYRE, XENIA ASSENZA
narrated by PHILIPP MOOG
music GERMAN WAHNSINN
production company THE MARMALADE FILMS

'BACKSTORY' was shot in Germany in 17 shooting days over a period of 1,5 years. It has been screened at more than 110 festivals worldwide and, so far, has won more than 30 international awards. Our love goes out to all the wonderful people who worked so hard on this film for such a long time! :-)

see the full crew list and more info at www.backstory-film.com

here is some of the 33 AWARDS we have won
* BEST SUPER SHORT* at NEW YORK CITY INDEPENDENT FILM FESTIVAL New York City, US
*BEST SHORT* at ORLANDO FILM FESTIVAL, Orlando, US
*BEST FOREIGN SHORT* at TWISTER ALLEY FILM FESTIVAL Woodward, US
*BEST FILM* COLCHESTER FILM FESTIVAL, Colchester, UK
*BEST OF FESTIVAL* at FASTNET FILM FESTIVAL Schull, Cork, Ireland
*ROGER DEAKINS AWARD* at PLYMOUTH FILM FESTIVAL Plymouth, UK
*JURY AWARD* at HAMILTON FILM FESTIVAL, Hamilton, US
*BEST DIRECTOR* at FARM FILM FESTIVAL, Sicily, Italy
*BEST FOREIGN SHORT* at ANOTHER INDEPENDENT FILM FESTIVAL, Wisconsin, USA
*BEST IN SHOW* at CREATION INTERNATIONAL FILM FESTIVAL Ottawa, Canada 
*AUDIENCE AWARD* at OPORTO INTERNATIONAL SHORT FILM FESTIVAL Porto, Portugal
*BEST STORY* at REVOLUTION ME FESTIVAL, New York City, US
(...)

www.joschka-laukeninks.de
https://www.facebook.com/backstoryshortfilm",2017-12-04T03:15:17-05:00,1113288081,479,245687147,319,150902,5001,https://i.vimeocdn.com/video/670443848_780x439.webp
28,244830270,THE RETURN OF THE MONSTER,"Will you wake up from this nightmare ? ...HUIIIIIH ! 

A short film by MegaComputeur.

Our facebook page : http://facebook.com/MegaComputeurAnimation

Directed by Corentin Yvergniaux, Camille Jalabert, Quentin Camus
Music and Mixing by Pierre-François Renouf (Le Refuge)",2017-11-28T08:41:55-05:00,79052800,84,244830270,41,75714,1672,https://i.vimeocdn.com/video/669354020_780x439.webp
